AS,Attractor,Basin size,De,Interactions,C. + largo
94,01111010001101000100110101,65536,32035125,383,6
95,11111010001110100001111001,65536,65595513,767,5
96,00000110000000100000100010,24576,1574946,191,4
97,10000110000000100000100010,24576,35129378,191,4
98,01000110000000100000100010,24576,18352162,191,4
99,11000110000000100000100010,24576,51906594,191,4
100,00100110000000100000100011,24576,9963555,191,4
101,10100110000000100000100011,24576,43517987,191,4
102,01100110000000100000100011,24576,26740771,191,4
103,11100110000000100000100011,24576,60295203,191,4
104,00010110001100100000110000,65536,5818416,2687,3
105,10010110001100100000110000,65536,39372848,2687,3
106,01010110001100100000110000,65536,22595632,2687,3
107,11010110001100100000110000,65536,56150064,2687,3
108,00110110001100100000110001,65536,14207025,2687,3
109,10110110001100100000110001,65536,47761457,2687,3
110,01110110001100100000110001,65536,30984241,2687,3
111,11110110001100100000110001,65536,64538673,2687,3
112,00001110000010100001111000,24576,3680376,255,5
113,10001110000010100001111000,24576,37234808,255,5
114,01001110000010100001111000,24576,20457592,255,5
115,11001110000010100001111000,24576,54012024,255,5
116,00101110000010100001111001,24576,12068985,255,5
117,10101110000010100001111001,24576,45623417,255,5
118,01101110000010100001111001,24576,28846201,255,5
119,11101110000010100001111001,24576,62400633,255,5
120,00011110001110100001111000,65536,7923832,767,5
121,10011110001110100001111000,65536,41478264,767,5
122,01011110001110100001111000,65536,24701048,767,5
123,11011110001110100001111000,65536,58255480,767,5
124,00111110001110100001111001,65536,16312441,767,5
125,10111110001110100001111001,65536,49866873,767,5
126,01111110001110100001111001,65536,33089657,767,5
127,11111110001110100001111001,65536,66644089,767,5
128,00000001000000000000000000,3168,262144,223,2
129,10000001000001000000010000,9216,33820688,127,3
130,01000001000000000100100110,8064,17039654,127,3
131,11000001000001000100110110,24576,50598198,127,4
132,00100001000000000000000001,3168,8650753,223,2
133,10100001000001000000010001,9216,42209297,127,3
134,01100001000000000100100111,8064,25428263,127,3
135,11100001000001000100110111,24576,58986807,127,4
136,00010001001101000000010000,24576,4509712,495,3
137,10010001001101000000010000,24576,38064144,511,3
138,01010001001101000100110100,65536,21287220,383,4
139,11010001001101000100110100,65536,54841652,383,4
140,00110001001101000000010001,24576,12898321,495,3
141,10110001001101000000010001,24576,46452753,511,3
142,01110001001101000100110101,65536,29675829,383,4
143,11110001001101000100110101,65536,63230261,383,4
144,00001001000011000001011000,9216,2371672,47,6
145,10001001000011000001011000,9216,35926104,63,5
146,01001001000001000100110110,19104,19140918,95,6
147,11001001000001000100110110,24576,52695350,127,6
148,00101001000011000001011001,9216,10760281,47,6
149,10101001000011000001011001,9216,44314713,63,5
150,01101001000001000100110111,19104,27529527,95,6
151,11101001000001000100110111,24576,61083959,127,6
152,00011001001111000001011000,24576,6615128,175,5
153,10011001001111000001011000,24576,40169560,191,5
154,01011001001101000100110100,65536,23384372,383,6
155,11011001001101000100110100,65536,56938804,383,6
156,00111001001111000001011001,24576,15003737,175,5
157,10111001001111000001011001,24576,48558169,191,5
158,01111001001101000100110101,65536,31772981,383,6
159,11111001001101000100110101,65536,65327413,383,6
160,00000101000101000000010000,24576,1331216,383,4
161,10000101000101000000010000,24576,34885648,383,4
162,01000101000101000100110100,65536,18108724,383,4
163,11000101000101000100110100,65536,51663156,383,4
164,00100101000101000000010001,24576,9719825,383,4
165,10100101000101000000010001,24576,43274257,383,4
166,01100101000101000100110101,65536,26497333,383,4
167,11100101000101000100110101,65536,60051765,383,4
168,00010101001101000000010000,24576,5558288,511,3
169,10010101001101000000010000,24576,39112720,511,3
170,01010101001101000100110100,65536,22335796,383,4
171,11010101001101000100110100,65536,55890228,383,4
172,00110101001101000000010001,24576,13946897,511,3
173,10110101001101000000010001,24576,47501329,511,3
174,01110101001101000100110101,65536,30724405,383,4
175,11110101001101000100110101,65536,64278837,383,4
176,00001101000111000001011000,24576,3436632,127,5
177,10001101000111000001011000,24576,36991064,127,5
178,01001101000101000100110100,65536,20205876,383,6
179,11001101000101000100110100,65536,53760308,383,6
180,00101101000111000001011001,24576,11825241,127,5
181,10101101000111000001011001,24576,45379673,127,5
182,01101101000101000100110101,65536,28594485,383,6
183,11101101000101000100110101,65536,62148917,383,6
184,00011101001111000001011000,24576,7663704,191,5
185,10011101001111000001011000,24576,41218136,191,5
186,01011101001101000100110100,65536,24432948,383,6
187,11011101001101000100110100,65536,57987380,383,6
188,00111101001111000001011001,24576,16052313,191,5
189,10111101001111000001011001,24576,49606745,191,5
190,01111101001101000100110101,65536,32821557,383,6
191,11111101001101000100110101,65536,66375989,383,6
192,00000011000000000000000000,3168,786432,223,2
193,10000011000000100000100010,24576,34342946,191,4
194,01000011000000000100100110,8064,17563942,127,3
195,11000011000000100000100010,24576,51120162,191,4
